firmware_name	inf_source	evidence
8480_ccd_base.json	qcSensorsConfigCrd8480.inf	HP-SOFTWARE
8480_default_sensors.json	qcSensorsConfigCrd8480.inf	HP-SOFTWARE
8480_dynamic_sensors.json	qcSensorsConfigCrd8480.inf	HP-SOFTWARE
8480_irq.json	qcSensorsConfigCrd8480.inf	HP-SOFTWARE
8480_power_0.json	qcSensorsConfigCrd8480.inf	HP-SOFTWARE
8480_qsh_ble_0.json	qcSensorsConfigCrd8480.inf	HP-SOFTWARE
ACDResources.bin	qcaucd_ext_crd8480.inf	HP-SOFTWARE
ADC1.bin	qcadc8480.inf	HP-SOFTWARE
ADC1.bin	qcadc_ext8480.inf	HP-SOFTWARE
ADCMResources.bin	qcacsp_crd8480.inf	HP-SOFTWARE
ASCDResources.bin	qcascd_ext_crd8480.inf	HP-SOFTWARE
BSRC_BT.bin	qcbluetooth8480.inf	HP-SOFTWARE
BSRC_QSPI.bin	qcspi8480.inf	HP-SOFTWARE
BSRC_SPI.bin	qcspi8480.inf	HP-SOFTWARE
BSRC_UART_2Wire_1.bin	qcuart8480.inf	HP-SOFTWARE
BSRC_UART_2Wire_2.bin	qcuart8480.inf	HP-SOFTWARE
BSRC_UART_4Wire_1.bin	qcuart8480.inf	HP-SOFTWARE
BSRC_UART_4Wire_2.bin	qcuart8480.inf	HP-SOFTWARE
CRMD.bin	qcbcryptcipherkm8480.inf	HP-SOFTWARE
EVMD.bin	qceva_ext8480.inf	HP-SOFTWARE
EVPF.bin	qceva_ext8480.inf	HP-SOFTWARE
MptfBlob1.bin	QcMptfDevice8480.inf	HP-SOFTWARE
MptfBlob2.bin	QcMptfDevice8480.inf	HP-SOFTWARE
MptfBlob3.bin	QcMptfDevice8480.inf	HP-SOFTWARE
MptfBlob4.bin	QcMptfDevice8480.inf	HP-SOFTWARE
QSTFConfigFile.bin	ppte.wd8480.inf	HP-SOFTWARE
QSTFConfigFile.bin	qcqstfconfig8480.inf	HP-SOFTWARE
QdssTrace.bin	qcqdss8480.inf	HP-SOFTWARE
RADS.bin	qcsubsys_ext_adsp8480.inf	HP-SOFTWARE
RCDS.bin	qcsubsys_ext_cdsp8480.inf	HP-SOFTWARE
RNGF.bin	qcRng8480.inf	HP-SOFTWARE
ROOB.bin	qcsubsys_ext_oob8480.inf	HP-SOFTWARE
