hardware_id	provider	inf_source	evidence
ACPI\AUI0204	ELAN	ETD.inf	HP-SOFTWARE
ACPI\IBM0057	ELAN	ETD.inf	HP-SOFTWARE
ACPI\NCT1001	ELAN	ETD.inf	HP-SOFTWARE
ACPI\QCOM0C6D	Qualcomm Technologies, Inc.	QcUsb4Bus8480.inf	HP-SOFTWARE
ACPI\QCOM0F04	Qualcomm Incorporated	HalExtQCWdogTimer8480.inf	HP-SOFTWARE
ACPI\QCOM0F0A	Qualcomm Inc.	qckmbam8480.inf	HP-SOFTWARE
ACPI\QCOM0F0B	Qualcomm Inc.	qcspmi8480.inf	HP-SOFTWARE
ACPI\QCOM0F0C	Qualcomm Inc.	qcgpio8480.inf	HP-SOFTWARE
ACPI\QCOM0F0D	Qualcomm Incorporated	qcipcrouter8480.inf	HP-SOFTWARE
ACPI\QCOM0F0E	Qualcomm Technologies, Inc.	qcspi8480.inf	HP-SOFTWARE
ACPI\QCOM0F10	Qualcomm Inc.	qci2c8480.inf	HP-SOFTWARE
ACPI\QCOM0F11	Qualcomm Technologies, Inc.	qcadc8480.inf	HP-SOFTWARE
ACPI\QCOM0F11	Qualcomm Technologies, Inc.	qcadc_ext8480.inf	HP-SOFTWARE
ACPI\QCOM0F12	Qualcomm Incorporated	qcdiagcsi8480.inf	HP-SOFTWARE
ACPI\QCOM0F13	Qualcomm Incorporated	qcdiagrouter8480.inf	HP-SOFTWARE
ACPI\QCOM0F16	Qualcomm Technologies, Inc.	qcuart8480.inf	HP-SOFTWARE
ACPI\QCOM0F17	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F17	Qualcomm Inc.	qcpep.wd_ext8480.inf	HP-SOFTWARE
ACPI\QCOM0F1B	Qualcomm Technologies, Incorporated	qcsubsys8480.inf	HP-SOFTWARE
ACPI\QCOM0F20	Qualcomm Technologies, Incorporated	qcsubsys8480.inf	HP-SOFTWARE
ACPI\QCOM0F2A	Qualcomm Incorporated	qcbattminiclass8480.inf	HP-SOFTWARE
ACPI\QCOM0F2B	Qualcomm Inc.	qcpmic8480.inf	HP-SOFTWARE
ACPI\QCOM0F2C	Qualcomm Inc.	qcpmicapps8480.inf	HP-SOFTWARE
ACPI\QCOM0F2D	Qualcomm Inc.	qcpmicgpio8480.inf	HP-SOFTWARE
ACPI\QCOM0F2F	Qualcomm Incorporated	qccdi8480.inf	HP-SOFTWARE
ACPI\QCOM0F37	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F38	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F39	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F3A	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F3B	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F3C	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F3D	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F3E	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F3F	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F40	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F41	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F42	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F43	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F44	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F45	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F46	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F47	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F48	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F49	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F4A	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F4B	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F4C	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F4D	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F4E	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F4F	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F50	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
ACPI\QCOM0F51	Qualcomm Inc.	qcpep.wd8480.inf	HP-SOFTWARE
